date,new_cases,cumulative_cases,social_distancing_level
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,1,1,0
2020-01-20,0,1,0
2020-01-21,0,1,0
2020-01-22,0,1,0
2020-01-23,0,1,0
2020-01-24,0,1,0
2020-01-25,0,1,0
2020-01-26,2,3,0
2020-01-27,0,3,0
2020-01-28,0,3,0
2020-01-29,0,3,0
2020-01-30,0,3,0
2020-01-31,0,3,0
2020-02-01,0,3,0
2020-02-02,12,15,0
2020-02-03,0,15,0
2020-02-04,0,15,0
2020-02-05,0,15,0
2020-02-06,0,15,0
2020-02-07,0,15,0
2020-02-08,0,15,0
2020-02-09,12,27,0
2020-02-10,0,27,0
2020-02-11,0,27,0
2020-02-12,0,27,0
2020-02-13,0,27,0
2020-02-14,0,27,0
2020-02-15,0,27,0
2020-02-16,3,30,0
2020-02-17,0,30,0
2020-02-18,0,30,0
2020-02-19,0,30,0
2020-02-20,0,30,0
2020-02-21,0,30,0
2020-02-22,0,30,0
2020-02-23,526,556,0
2020-02-24,0,556,0
2020-02-25,0,556,0
2020-02-26,0,556,0
2020-02-27,0,556,0
2020-02-28,0,556,0
2020-02-29,0,556,0
2020-03-01,2970,3526,0
2020-03-02,0,3526,0
2020-03-03,0,3526,0
2020-03-04,0,3526,0
2020-03-05,0,3526,0
2020-03-06,0,3526,0
2020-03-07,0,3526,0
2020-03-08,3608,7134,0
2020-03-09,0,7134,0
2020-03-10,0,7134,0
2020-03-11,0,7134,0
2020-03-12,0,7134,0
2020-03-13,0,7134,0
2020-03-14,0,7134,0
2020-03-15,1028,8162,0
2020-03-16,0,8162,0
2020-03-17,0,8162,0
2020-03-18,0,8162,0
2020-03-19,0,8162,0
2020-03-20,0,8162,0
2020-03-21,0,8162,0
2020-03-22,735,8897,0
2020-03-23,0,8897,0
2020-03-24,0,8897,0
2020-03-25,0,8897,0
2020-03-26,0,8897,0
2020-03-27,0,8897,0
2020-03-28,0,8897,0
2020-03-29,686,9583,0
2020-03-30,0,9583,0
2020-03-31,0,9583,0
2020-04-01,0,9583,0
2020-04-02,0,9583,0
2020-04-03,0,9583,0
2020-04-04,0,9583,0
2020-04-05,654,10237,0
2020-04-06,0,10237,0
2020-04-07,0,10237,0
2020-04-08,0,10237,0
2020-04-09,0,10237,0
2020-04-10,0,10237,0
2020-04-11,0,10237,0
2020-04-12,275,10512,0
2020-04-13,0,10512,0
2020-04-14,0,10512,0
2020-04-15,0,10512,0
2020-04-16,0,10512,0
2020-04-17,0,10512,0
2020-04-18,0,10512,0
2020-04-19,149,10661,0
2020-04-20,0,10661,0
2020-04-21,0,10661,0
2020-04-22,0,10661,0
2020-04-23,0,10661,0
2020-04-24,0,10661,0
2020-04-25,0,10661,0
2020-04-26,67,10728,0
2020-04-27,0,10728,0
2020-04-28,0,10728,0
2020-04-29,0,10728,0
2020-04-30,0,10728,0
2020-05-01,0,10728,0
2020-05-02,0,10728,0
2020-05-03,65,10793,0
2020-05-04,0,10793,0
2020-05-05,0,10793,0
2020-05-06,0,10793,0
2020-05-07,0,10793,0
2020-05-08,0,10793,0
2020-05-09,0,10793,0
2020-05-10,81,10874,0
2020-05-11,0,10874,0
2020-05-12,0,10874,0
2020-05-13,0,10874,0
2020-05-14,0,10874,0
2020-05-15,0,10874,0
2020-05-16,0,10874,0
2020-05-17,176,11050,0
2020-05-18,0,11050,0
2020-05-19,0,11050,0
2020-05-20,0,11050,0
2020-05-21,0,11050,0
2020-05-22,0,11050,0
2020-05-23,0,11050,0
2020-05-24,140,11190,0
2020-05-25,0,11190,0
2020-05-26,0,11190,0
2020-05-27,0,11190,0
2020-05-28,0,11190,0
2020-05-29,0,11190,0
2020-05-30,0,11190,0
2020-05-31,278,11468,0
2020-06-01,0,11468,0
2020-06-02,0,11468,0
2020-06-03,0,11468,0
2020-06-04,0,11468,0
2020-06-05,0,11468,0
2020-06-06,0,11468,0
2020-06-07,308,11776,0
2020-06-08,0,11776,0
2020-06-09,0,11776,0
2020-06-10,0,11776,0
2020-06-11,0,11776,0
2020-06-12,0,11776,0
2020-06-13,0,11776,0
2020-06-14,308,12084,0
2020-06-15,0,12084,0
2020-06-16,0,12084,0
2020-06-17,0,12084,0
2020-06-18,0,12084,0
2020-06-19,0,12084,0
2020-06-20,0,12084,0
2020-06-21,337,12421,0
2020-06-22,0,12421,0
2020-06-23,0,12421,0
2020-06-24,0,12421,0
2020-06-25,0,12421,0
2020-06-26,0,12421,0
2020-06-27,0,12421,0
2020-06-28,294,12715,0
2020-06-29,0,12715,0
2020-06-30,0,12715,0
2020-07-01,0,12715,0
2020-07-02,0,12715,0
2020-07-03,0,12715,0
2020-07-04,0,12715,0
2020-07-05,374,13089,0
2020-07-06,0,13089,0
2020-07-07,0,13089,0
2020-07-08,0,13089,0
2020-07-09,0,13089,0
2020-07-10,0,13089,0
2020-07-11,0,13089,0
2020-07-12,328,13417,0
2020-07-13,0,13417,0
2020-07-14,0,13417,0
2020-07-15,0,13417,0
2020-07-16,0,13417,0
2020-07-17,0,13417,0
2020-07-18,0,13417,0
2020-07-19,328,13745,0
2020-07-20,0,13745,0
2020-07-21,0,13745,0
2020-07-22,0,13745,0
2020-07-23,0,13745,0
2020-07-24,0,13745,0
2020-07-25,0,13745,0
2020-07-26,405,14150,0
2020-07-27,0,14150,0
2020-07-28,0,14150,0
2020-07-29,0,14150,0
2020-07-30,0,14150,0
2020-07-31,0,14150,0
2020-08-01,0,14150,0
2020-08-02,216,14366,0
2020-08-03,0,14366,0
2020-08-04,0,14366,0
2020-08-05,0,14366,0
2020-08-06,0,14366,0
2020-08-07,0,14366,0
2020-08-08,0,14366,0
2020-08-09,232,14598,0
2020-08-10,0,14598,0
2020-08-11,0,14598,0
2020-08-12,0,14598,0
2020-08-13,0,14598,0
2020-08-14,0,14598,0
2020-08-15,0,14598,0
2020-08-16,720,15318,0
2020-08-17,0,15318,0
2020-08-18,0,15318,0
2020-08-19,0,15318,0
2020-08-20,0,15318,0
2020-08-21,0,15318,0
2020-08-22,0,15318,0
2020-08-23,2081,17399,0
2020-08-24,0,17399,0
2020-08-25,0,17399,0
2020-08-26,0,17399,0
2020-08-27,0,17399,0
2020-08-28,0,17399,0
2020-08-29,0,17399,0
2020-08-30,2300,19699,0
2020-08-31,0,19699,0
2020-09-01,0,19699,0
2020-09-02,0,19699,0
2020-09-03,0,19699,0
2020-09-04,0,19699,0
2020-09-05,0,19699,0
2020-09-06,1478,21177,0
2020-09-07,0,21177,0
2020-09-08,0,21177,0
2020-09-09,0,21177,0
2020-09-10,0,21177,0
2020-09-11,0,21177,0
2020-09-12,0,21177,0
2020-09-13,999,22176,0
2020-09-14,0,22176,0
2020-09-15,0,22176,0
2020-09-16,0,22176,0
2020-09-17,0,22176,0
2020-09-18,0,22176,0
2020-09-19,0,22176,0
2020-09-20,799,22975,0
2020-09-21,0,22975,0
2020-09-22,0,22975,0
2020-09-23,0,22975,0
2020-09-24,0,22975,0
2020-09-25,0,22975,0
2020-09-26,0,22975,0
2020-09-27,636,23611,0
2020-09-28,0,23611,0
2020-09-29,0,23611,0
2020-09-30,0,23611,0
2020-10-01,0,23611,0
2020-10-02,0,23611,0
2020-10-03,0,23611,0
2020-10-04,480,24091,0
2020-10-05,0,24091,0
2020-10-06,0,24091,0
2020-10-07,0,24091,0
2020-10-08,0,24091,0
2020-10-09,0,24091,0
2020-10-10,0,24091,0
2020-10-11,515,24606,0
2020-10-12,0,24606,0
2020-10-13,0,24606,0
2020-10-14,0,24606,0
2020-10-15,0,24606,0
2020-10-16,0,24606,0
2020-10-17,0,24606,0
2020-10-18,593,25199,0
2020-10-19,0,25199,0
2020-10-20,0,25199,0
2020-10-21,0,25199,0
2020-10-22,0,25199,0
2020-10-23,0,25199,0
2020-10-24,0,25199,0
2020-10-25,637,25836,0
2020-10-26,0,25836,0
2020-10-27,0,25836,0
2020-10-28,0,25836,0
2020-10-29,0,25836,0
2020-10-30,0,25836,0
2020-10-31,0,25836,0
2020-11-01,799,26635,0
2020-11-02,0,26635,0
2020-11-03,0,26635,0
2020-11-04,0,26635,0
2020-11-05,0,26635,0
2020-11-06,0,26635,0
2020-11-07,0,26635,0
2020-11-08,791,27426,0
2020-11-09,0,27426,0
2020-11-10,0,27426,0
2020-11-11,0,27426,0
2020-11-12,0,27426,0
2020-11-13,0,27426,0
2020-11-14,0,27426,0
2020-11-15,1118,28544,0
2020-11-16,0,28544,0
2020-11-17,0,28544,0
2020-11-18,0,28544,0
2020-11-19,0,28544,0
2020-11-20,0,28544,0
2020-11-21,0,28544,0
2020-11-22,2126,30670,0
2020-11-23,0,30670,0
2020-11-24,0,30670,0
2020-11-25,0,30670,0
2020-11-26,0,30670,0
2020-11-27,0,30670,0
2020-11-28,0,30670,0
2020-11-29,3091,33761,0
2020-11-30,0,33761,0
2020-12-01,0,33761,0
2020-12-02,0,33761,0
2020-12-03,0,33761,0
2020-12-04,0,33761,0
2020-12-05,0,33761,0
2020-12-06,3776,37537,0
2020-12-07,0,37537,0
2020-12-08,0,37537,0
2020-12-09,0,37537,0
2020-12-10,0,37537,0
2020-12-11,0,37537,0
2020-12-12,0,37537,0
2020-12-13,5221,42758,0
2020-12-14,0,42758,0
2020-12-15,0,42758,0
2020-12-16,0,42758,0
2020-12-17,0,42758,0
2020-12-18,0,42758,0
2020-12-19,0,42758,0
2020-12-20,6896,49654,0
2020-12-21,0,49654,0
2020-12-22,0,49654,0
2020-12-23,0,49654,0
2020-12-24,0,49654,0
2020-12-25,0,49654,0
2020-12-26,0,49654,0
2020-12-27,7201,56855,0
2020-12-28,0,56855,0
2020-12-29,0,56855,0
2020-12-30,0,56855,0
2020-12-31,0,56855,0
2021-01-01,0,56855,0
2021-01-02,0,56855,0
2021-01-03,7396,64251,0
2021-01-04,0,64251,0
2021-01-05,0,64251,0
2021-01-06,0,64251,0
2021-01-07,0,64251,0
2021-01-08,0,64251,0
2021-01-09,0,64251,0
2021-01-10,4844,69095,0
2021-01-11,0,69095,0
2021-01-12,0,69095,0
2021-01-13,0,69095,0
2021-01-14,0,69095,0
2021-01-15,0,69095,0
2021-01-16,0,69095,0
2021-01-17,3623,72718,0
2021-01-18,0,72718,0
2021-01-19,0,72718,0
2021-01-20,0,72718,0
2021-01-21,0,72718,0
2021-01-22,0,72718,0
2021-01-23,0,72718,0
2021-01-24,2796,75514,0
2021-01-25,0,75514,0
2021-01-26,0,75514,0
2021-01-27,0,75514,0
2021-01-28,0,75514,0
2021-01-29,0,75514,0
2021-01-30,0,75514,0
2021-01-31,2989,78503,0
2021-02-01,0,78503,0
2021-02-02,0,78503,0
2021-02-03,0,78503,0
2021-02-04,0,78503,0
2021-02-05,0,78503,0
2021-02-06,0,78503,0
2021-02-07,2673,81176,0
2021-02-08,0,81176,0
2021-02-09,0,81176,0
2021-02-10,0,81176,0
2021-02-11,0,81176,0
2021-02-12,0,81176,0
2021-02-13,0,81176,0
2021-02-14,2685,83861,0
2021-02-15,0,83861,0
2021-02-16,0,83861,0
2021-02-17,0,83861,0
2021-02-18,0,83861,0
2021-02-19,0,83861,0
2021-02-20,0,83861,0
2021-02-21,3456,87317,0
2021-02-22,0,87317,0
2021-02-23,0,87317,0
2021-02-24,0,87317,0
2021-02-25,0,87317,0
2021-02-26,0,87317,0
2021-02-27,0,87317,0
2021-02-28,2703,90020,0
2021-03-01,0,90020,0
2021-03-02,0,90020,0
2021-03-03,0,90020,0
2021-03-04,0,90020,0
2021-03-05,0,90020,0
2021-03-06,0,90020,0
2021-03-07,2790,92810,0
2021-03-08,0,92810,0
2021-03-09,0,92810,0
2021-03-10,0,92810,0
2021-03-11,0,92810,0
2021-03-12,0,92810,0
2021-03-13,0,92810,0
2021-03-14,3197,96007,0
2021-03-15,0,96007,0
2021-03-16,0,96007,0
2021-03-17,0,96007,0
2021-03-18,0,96007,0
2021-03-19,0,96007,0
2021-03-20,0,96007,0
2021-03-21,3058,99065,0
2021-03-22,0,99065,0
2021-03-23,0,99065,0
2021-03-24,0,99065,0
2021-03-25,0,99065,0
2021-03-26,0,99065,0
2021-03-27,0,99065,0
2021-03-28,3062,102127,0
2021-03-29,0,102127,0
2021-03-30,0,102127,0
2021-03-31,0,102127,0
2021-04-01,0,102127,0
2021-04-02,0,102127,0
2021-04-03,0,102127,0
2021-04-04,3620,105747,0
2021-04-05,0,105747,0
2021-04-06,0,105747,0
2021-04-07,0,105747,0
2021-04-08,0,105747,0
2021-04-09,0,105747,0
2021-04-10,0,105747,0
2021-04-11,4394,110141,0
2021-04-12,0,110141,0
2021-04-13,0,110141,0
2021-04-14,0,110141,0
2021-04-15,0,110141,0
2021-04-16,0,110141,0
2021-04-17,0,110141,0
2021-04-18,4505,114646,0
2021-04-19,0,114646,0
2021-04-20,0,114646,0
2021-04-21,0,114646,0
2021-04-22,0,114646,0
2021-04-23,0,114646,0
2021-04-24,0,114646,0
2021-04-25,4732,119378,0
2021-04-26,0,119378,0
2021-04-27,0,119378,0
2021-04-28,0,119378,0
2021-04-29,0,119378,0
2021-04-30,0,119378,0
2021-05-01,0,119378,0
2021-05-02,4342,123720,0
2021-05-03,0,123720,0
2021-05-04,0,123720,0
2021-05-05,0,123720,0
2021-05-06,0,123720,0
2021-05-07,0,123720,0
2021-05-08,0,123720,0
2021-05-09,4044,127764,0
2021-05-10,0,127764,0
2021-05-11,0,127764,0
2021-05-12,0,127764,0
2021-05-13,0,127764,0
2021-05-14,0,127764,0
2021-05-15,0,127764,0
2021-05-16,4516,132280,0
2021-05-17,0,132280,0
2021-05-18,0,132280,0
2021-05-19,0,132280,0
2021-05-20,0,132280,0
2021-05-21,0,132280,0
2021-05-22,0,132280,0
2021-05-23,4178,136458,0
2021-05-24,0,136458,0
2021-05-25,0,136458,0
2021-05-26,0,136458,0
2021-05-27,0,136458,0
2021-05-28,0,136458,0
2021-05-29,0,136458,0
2021-05-30,3880,140338,0
2021-05-31,0,140338,0
2021-06-01,0,140338,0
2021-06-02,0,140338,0
2021-06-03,0,140338,0
2021-06-04,0,140338,0
2021-06-05,0,140338,0
2021-06-06,4297,144635,0
2021-06-07,0,144635,0
2021-06-08,0,144635,0
2021-06-09,0,144635,0
2021-06-10,0,144635,0
2021-06-11,0,144635,0
2021-06-12,0,144635,0
2021-06-13,3638,148273,0
2021-06-14,0,148273,0
2021-06-15,0,148273,0
2021-06-16,0,148273,0
2021-06-17,0,148273,0
2021-06-18,0,148273,0
2021-06-19,0,148273,0
2021-06-20,3233,151506,0
2021-06-21,0,151506,0
2021-06-22,0,151506,0
2021-06-23,0,151506,0
2021-06-24,0,151506,0
2021-06-25,0,151506,0
2021-06-26,0,151506,0
2021-06-27,4066,155572,0
2021-06-28,0,155572,0
2021-06-29,0,155572,0
2021-06-30,0,155572,0
2021-07-01,0,155572,0
2021-07-02,0,155572,0
2021-07-03,0,155572,0
2021-07-04,5223,160795,0
2021-07-05,0,160795,0
2021-07-06,0,160795,0
2021-07-07,0,160795,0
2021-07-08,0,160795,0
2021-07-09,0,160795,0
2021-07-10,0,160795,0
2021-07-11,8351,169146,0
2021-07-12,0,169146,0
2021-07-13,0,169146,0
2021-07-14,0,169146,0
2021-07-15,0,169146,0
2021-07-16,0,169146,0
2021-07-17,0,169146,0
2021-07-18,10057,179203,0
2021-07-19,0,179203,0
2021-07-20,0,179203,0
2021-07-21,0,179203,0
2021-07-22,0,179203,0
2021-07-23,0,179203,0
2021-07-24,0,179203,0
2021-07-25,10963,190166,0
2021-07-26,0,190166,0
2021-07-27,0,190166,0
2021-07-28,0,190166,0
2021-07-29,0,190166,0
2021-07-30,0,190166,0
2021-07-31,0,190166,0
2021-08-01,10835,201001,0
2021-08-02,0,201001,0
2021-08-03,0,201001,0
2021-08-04,0,201001,0
2021-08-05,0,201001,0
2021-08-06,0,201001,0
2021-08-07,0,201001,0
2021-08-08,11446,212447,0
2021-08-09,0,212447,0
2021-08-10,0,212447,0
2021-08-11,0,212447,0
2021-08-12,0,212447,0
2021-08-13,0,212447,0
2021-08-14,0,212447,0
2021-08-15,13034,225481,0
2021-08-16,0,225481,0
2021-08-17,0,225481,0
2021-08-18,0,225481,0
2021-08-19,0,225481,0
2021-08-20,0,225481,0
2021-08-21,0,225481,0
2021-08-22,12297,237778,0
2021-08-23,0,237778,0
2021-08-24,0,237778,0
2021-08-25,0,237778,0
2021-08-26,0,237778,0
2021-08-27,0,237778,0
2021-08-28,0,237778,0
2021-08-29,12271,250049,0
2021-08-30,0,250049,0
2021-08-31,0,250049,0
2021-09-01,0,250049,0
2021-09-02,0,250049,0
2021-09-03,0,250049,0
2021-09-04,0,250049,0
2021-09-05,11728,261777,0
2021-09-06,0,261777,0
2021-09-07,0,261777,0
2021-09-08,0,261777,0
2021-09-09,0,261777,0
2021-09-10,0,261777,0
2021-09-11,0,261777,0
2021-09-12,12636,274413,0
2021-09-13,0,274413,0
2021-09-14,0,274413,0
2021-09-15,0,274413,0
2021-09-16,0,274413,0
2021-09-17,0,274413,0
2021-09-18,0,274413,0
2021-09-19,13121,287534,0
2021-09-20,0,287534,0
2021-09-21,0,287534,0
2021-09-22,0,287534,0
2021-09-23,0,287534,0
2021-09-24,0,287534,0
2021-09-25,0,287534,0
2021-09-26,16019,303553,0
2021-09-27,0,303553,0
2021-09-28,0,303553,0
2021-09-29,0,303553,0
2021-09-30,0,303553,0
2021-10-01,0,303553,0
2021-10-02,0,303553,0
2021-10-03,16224,319777,0
2021-10-04,0,319777,0
2021-10-05,0,319777,0
2021-10-06,0,319777,0
2021-10-07,0,319777,0
2021-10-08,0,319777,0
2021-10-09,0,319777,0
2021-10-10,13039,332816,0
2021-10-11,0,332816,0
2021-10-12,0,332816,0
2021-10-13,0,332816,0
2021-10-14,0,332816,0
2021-10-15,0,332816,0
2021-10-16,0,332816,0
2021-10-17,10629,343445,0
2021-10-18,0,343445,0
2021-10-19,0,343445,0
2021-10-20,0,343445,0
2021-10-21,0,343445,0
2021-10-22,0,343445,0
2021-10-23,0,343445,0
2021-10-24,9644,353089,0
2021-10-25,0,353089,0
2021-10-26,0,353089,0
2021-10-27,0,353089,0
2021-10-28,0,353089,0
2021-10-29,0,353089,0
2021-10-30,0,353089,0
2021-10-31,13296,366385,0
2021-11-01,0,366385,0
2021-11-02,0,366385,0
2021-11-03,0,366385,0
2021-11-04,0,366385,0
2021-11-05,0,366385,0
2021-11-06,0,366385,0
2021-11-07,15307,381692,0
2021-11-08,0,381692,0
2021-11-09,0,381692,0
2021-11-10,0,381692,0
2021-11-11,0,381692,0
2021-11-12,0,381692,0
2021-11-13,0,381692,0
2021-11-14,15774,397466,0
2021-11-15,0,397466,0
2021-11-16,0,397466,0
2021-11-17,0,397466,0
2021-11-18,0,397466,0
2021-11-19,0,397466,0
2021-11-20,0,397466,0
2021-11-21,20785,418251,0
2021-11-22,0,418251,0
2021-11-23,0,418251,0
2021-11-24,0,418251,0
2021-11-25,0,418251,0
2021-11-26,0,418251,0
2021-11-27,0,418251,0
2021-11-28,25947,444198,0
2021-11-29,0,444198,0
2021-11-30,0,444198,0
2021-12-01,0,444198,0
2021-12-02,0,444198,0
2021-12-03,0,444198,0
2021-12-04,0,444198,0
2021-12-05,33158,477356,0
2021-12-06,0,477356,0
2021-12-07,0,477356,0
2021-12-08,0,477356,0
2021-12-09,0,477356,0
2021-12-10,0,477356,0
2021-12-11,0,477356,0
2021-12-12,45729,523085,0
2021-12-13,0,523085,0
2021-12-14,0,523085,0
2021-12-15,0,523085,0
2021-12-16,0,523085,0
2021-12-17,0,523085,0
2021-12-18,0,523085,0
2021-12-19,47328,570413,0
2021-12-20,0,570413,0
2021-12-21,0,570413,0
2021-12-22,0,570413,0
2021-12-23,0,570413,0
2021-12-24,0,570413,0
2021-12-25,0,570413,0
2021-12-26,41254,611667,0
2021-12-27,0,611667,0
2021-12-28,0,611667,0
2021-12-29,0,611667,0
2021-12-30,0,611667,0
2021-12-31,0,611667,0
2022-01-01,0,611667,0
2022-01-02,30535,642202,0
2022-01-03,0,642202,0
2022-01-04,0,642202,0
2022-01-05,0,642202,0
2022-01-06,0,642202,0
2022-01-07,0,642202,0
2022-01-08,0,642202,0
2022-01-09,25184,667386,0
2022-01-10,0,667386,0
2022-01-11,0,667386,0
2022-01-12,0,667386,0
2022-01-13,0,667386,0
2022-01-14,0,667386,0
2022-01-15,0,667386,0
2022-01-16,28644,696030,0
2022-01-17,0,696030,0
2022-01-18,0,696030,0
2022-01-19,0,696030,0
2022-01-20,0,696030,0
2022-01-21,0,696030,0
2022-01-22,0,696030,0
2022-01-23,45378,741408,0
2022-01-24,0,741408,0
2022-01-25,0,741408,0
2022-01-26,0,741408,0
2022-01-27,0,741408,0
2022-01-28,0,741408,0
2022-01-29,0,741408,0
2022-01-30,104291,845699,0
2022-01-31,0,845699,0
2022-02-01,0,845699,0
2022-02-02,0,845699,0
2022-02-03,0,845699,0
2022-02-04,0,845699,0
