date,holiday_name,day_of_week,is_weekend
2018-01-01,신정연휴,Monday,0
2018-02-15,설날 전날,Thursday,0
2018-02-16,설날,Friday,0
2018-02-17,설날 다음날,Saturday,1
2018-03-01,삼일절,Thursday,0
2018-05-05,어린이날,Saturday,1
2018-05-07,어린이날 대체 휴일,Monday,0
2018-05-22,부처님오신날,Tuesday,0
2018-06-06,현충일,Wednesday,0
2018-06-13,지방선거일,Wednesday,0
2018-08-15,광복절,Wednesday,0
2018-09-23,추석 전날,Sunday,1
2018-09-24,추석,Monday,0
2018-09-25,추석 다음날,Tuesday,0
2018-09-26,추석 대체 휴일,Wednesday,0
2018-10-03,개천절,Wednesday,0
2018-10-09,한글날,Tuesday,0
2018-12-25,기독탄신일,Tuesday,0
2019-01-01,신정연휴,Tuesday,0
2019-02-04,설날 전날,Monday,0
2019-02-05,설날,Tuesday,0
2019-02-06,설날 다음날,Wednesday,0
2019-03-01,삼일절,Friday,0
2019-05-05,어린이날,Sunday,1
2019-05-06,어린이날 대체 휴일,Monday,0
2019-05-12,부처님오신날,Sunday,1
2019-06-06,현충일,Thursday,0
2019-08-15,광복절,Thursday,0
2019-09-12,추석 전날,Thursday,0
2019-09-13,추석,Friday,0
2019-09-14,추석 다음날,Saturday,1
2019-10-03,개천절,Thursday,0
2019-10-09,한글날,Wednesday,0
2019-12-25,기독탄신일,Wednesday,0
2020-01-01,신정연휴,Wednesday,0
2020-01-24,설날 전날,Friday,0
2020-01-25,설날,Saturday,1
2020-01-26,설날 다음날,Sunday,1
2020-01-27,설날 대체 휴일,Monday,0
2020-03-01,삼일절,Sunday,1
2020-04-15,국회의원 선거일,Wednesday,0
2020-04-30,부처님오신날,Thursday,0
2020-05-05,어린이날,Tuesday,0
2020-06-06,현충일,Saturday,1
2020-08-15,광복절,Saturday,1
2020-08-17,임시공휴일,Monday,0
2020-09-30,추석 전날,Wednesday,0
2020-10-01,추석,Thursday,0
2020-10-02,추석 다음날,Friday,0
2020-10-03,개천절,Saturday,1
2020-10-09,한글날,Friday,0
2020-12-25,기독탄신일,Friday,0
2021-01-01,신정연휴,Friday,0
2021-02-11,설날 전날,Thursday,0
2021-02-12,설날,Friday,0
2021-02-13,설날 다음날,Saturday,1
2021-03-01,삼일절,Monday,0
2021-05-05,어린이날,Wednesday,0
2021-05-19,부처님오신날,Wednesday,0
2021-06-06,현충일,Sunday,1
2021-08-15,광복절,Sunday,1
2021-08-16,광복절 대체 휴일,Monday,0
2021-09-20,추석 전날,Monday,0
2021-09-21,추석,Tuesday,0
2021-09-22,추석 다음날,Wednesday,0
2021-10-03,개천절,Sunday,1
2021-10-04,개천절 대체 휴일,Monday,0
2021-10-09,한글날,Saturday,1
2021-10-11,한글날 대체 휴일,Monday,0
2021-12-25,기독탄신일,Saturday,1
2022-01-01,신정연휴,Saturday,1
2022-01-31,설날 전날,Monday,0
2022-02-01,설날,Tuesday,0
2022-02-02,설날 다음날,Wednesday,0
2022-03-01,삼일절,Tuesday,0
2022-03-09,대통령 선거일,Wednesday,0
2022-05-05,어린이날,Thursday,0
2022-05-08,부처님오신날,Sunday,1
2022-06-01,지방선거일,Wednesday,0
2022-06-06,현충일,Monday,0
2022-08-15,광복절,Monday,0
2022-09-09,추석 전날,Friday,0
2022-09-10,추석,Saturday,1
2022-09-11,추석 다음날,Sunday,1
2022-09-12,추석 대체 휴일,Monday,0
2022-10-03,개천절,Monday,0
2022-10-09,한글날,Sunday,1
2022-10-10,한글날 대체 휴일,Monday,0
2022-12-25,기독탄신일,Sunday,1
2023-01-01,신정연휴,Sunday,1
2023-01-21,설날 전날,Saturday,1
2023-01-22,설날,Sunday,1
2023-01-23,설날 다음날,Monday,0
2023-01-24,설날 대체 휴일,Tuesday,0
2023-03-01,삼일절,Wednesday,0
2023-05-05,어린이날,Friday,0
2023-05-27,부처님오신날,Saturday,1
2023-05-29,부처님오신날 대체 휴일,Monday,0
2023-06-06,현충일,Tuesday,0
2023-08-15,광복절,Tuesday,0
2023-09-28,추석 전날,Thursday,0
2023-09-29,추석,Friday,0
2023-09-30,추석 다음날,Saturday,1
2023-10-02,임시공휴일,Monday,0
2023-10-03,개천절,Tuesday,0
2023-10-09,한글날,Monday,0
2023-12-25,기독탄신일,Monday,0
2024-01-01,신정연휴,Monday,0
2024-02-09,설날 전날,Friday,0
2024-02-10,설날,Saturday,1
2024-02-11,설날 다음날,Sunday,1
2024-02-12,설날 대체 휴일,Monday,0
2024-03-01,삼일절,Friday,0
2024-04-10,국회의원 선거일,Wednesday,0
2024-05-05,어린이날,Sunday,1
2024-05-06,어린이날 대체 휴일,Monday,0
2024-05-15,부처님오신날,Wednesday,0
2024-06-06,현충일,Thursday,0
2024-08-15,광복절,Thursday,0
2024-09-16,추석 전날,Monday,0
2024-09-17,추석,Tuesday,0
2024-09-18,추석 다음날,Wednesday,0
2024-10-01,국군의 날,Tuesday,0
2024-10-03,개천절,Thursday,0
2024-10-09,한글날,Wednesday,0
2024-12-25,기독탄신일,Wednesday,0
2025-01-01,신정연휴,Wednesday,0
2025-01-27,임시공휴일,Monday,0
2025-01-28,설날 전날,Tuesday,0
2025-01-29,설날,Wednesday,0
2025-01-30,설날 다음날,Thursday,0
2025-03-01,삼일절,Saturday,1
2025-03-03,삼일절 대체 휴일,Monday,0
2025-05-05,부처님오신날; 어린이날,Monday,0
2025-05-06,부처님오신날 대체 휴일; 어린이날 대체 휴일,Tuesday,0
2025-06-03,대통령 선거일,Tuesday,0
2025-06-06,현충일,Friday,0
2025-08-15,광복절,Friday,0
2025-10-03,개천절,Friday,0
2025-10-05,추석 전날,Sunday,1
2025-10-06,추석,Monday,0
2025-10-07,추석 다음날,Tuesday,0
2025-10-08,추석 대체 휴일,Wednesday,0
2025-10-09,한글날,Thursday,0
2025-12-25,기독탄신일,Thursday,0
2026-01-01,신정연휴,Thursday,0
2026-02-16,설날 전날,Monday,0
2026-02-17,설날,Tuesday,0
2026-02-18,설날 다음날,Wednesday,0
2026-03-01,삼일절,Sunday,1
2026-03-02,삼일절 대체 휴일,Monday,0
2026-05-05,어린이날,Tuesday,0
2026-05-24,부처님오신날,Sunday,1
2026-05-25,부처님오신날 대체 휴일,Monday,0
2026-06-03,지방선거일,Wednesday,0
2026-06-06,현충일,Saturday,1
2026-07-17,제헌절,Friday,0
2026-08-15,광복절,Saturday,1
2026-08-17,광복절 대체 휴일,Monday,0
2026-09-24,추석 전날,Thursday,0
2026-09-25,추석,Friday,0
2026-09-26,추석 다음날,Saturday,1
2026-10-03,개천절,Saturday,1
2026-10-05,개천절 대체 휴일,Monday,0
2026-10-09,한글날,Friday,0
2026-12-25,기독탄신일,Friday,0
