date,event,category,description
2018-10-01,택시요금인상,policy,서울 택시 기본요금 3000→3800원 인상
2018-10-08,카카오T택시_출시,platform,카카오T 택시 호출 서비스 정식 런칭(2017이나 본격화)
2019-02-21,타다_서비스개시,platform,VCNC 타다 렌터카 서비스 본격화
2019-10-28,타다_기소,platform,타다 불법 운송 혐의 기소
2020-01-20,코로나_첫확진,covid,한국 코로나19 첫 확진자 발생
2020-02-29,코로나_대구폭증,covid,대구 신천지 관련 확진자 폭증
2020-03-22,사회적거리두기_시작,covid,사회적 거리두기 시행
2020-04-06,타다금지법_통과,platform,여객자동차운수사업법 개정안(타다금지법) 국회 통과
2020-04-11,타다_서비스종료,platform,타다 베이직 서비스 종료
2020-08-30,거리두기_2단계,covid,수도권 사회적 거리두기 2단계
2020-12-08,거리두기_2.5단계,covid,수도권 2.5단계 격상
2021-07-12,거리두기_4단계,covid,수도권 사회적 거리두기 4단계
2021-11-01,위드코로나_시작,covid,단계적 일상회복 시행
2021-12-18,위드코로나_중단,covid,오미크론 확산으로 거리두기 재강화
2022-03-05,오미크론_피크,covid,일일 확진자 62만명 피크
2022-04-18,거리두기_해제,covid,사회적 거리두기 전면 해제
2022-06-01,마스크의무_완화,covid,실외 마스크 의무 해제
2023-01-30,실내마스크_해제,covid,실내 마스크 의무 해제 (의료기관 제외)
2023-02-01,택시요금인상,policy,서울 택시 기본요금 3800→4800원 인상
2023-05-11,코로나_위기단계_하향,covid,감염병 위기경보 '심각→경계' 하향
2023-06-01,코로나_4급감염병,covid,코로나19 4급 감염병으로 전환
2024-02-01,심야할증_확대,policy,"심야할증 시간 22시→23시 변경, 할증률 조정"
