date,avg_temp,min_temp,max_temp,rainfall,avg_wind_speed,max_wind_speed,avg_humidity,sunshine_hours,snow_depth,avg_cloud
2018-01-01,-1.3,-5.1,3.8,,1.4,3.8,39.1,8.3,,1.0
2018-01-02,-1.8,-4.3,1.8,,1.8,4.9,42.0,7.9,,2.3
2018-01-03,-4.7,-7.1,-0.4,,2.2,3.5,42.3,8.6,,3.6
2018-01-04,-4.7,-8.7,-0.7,,1.4,3.5,43.0,6.2,,6.5
2018-01-05,-3.0,-5.6,1.6,,1.7,3.6,48.4,8.2,,3.6
2018-01-06,-2.8,-6.8,2.9,,1.5,3.1,45.8,8.8,,0.0
2018-01-07,-0.8,-5.7,2.8,,0.8,2.5,42.1,3.1,,7.5
2018-01-08,1.3,-1.2,4.0,0.9,1.8,7.1,51.9,0.5,1.0,9.0
2018-01-09,-4.2,-6.1,-1.2,0.5,2.9,6.1,59.4,8.4,1.0,3.5
2018-01-10,-7.5,-10.3,-4.8,0.3,3.0,6.1,52.0,8.8,0.8,0.9
2018-01-11,-11.1,-13.6,-7.4,,2.8,4.9,49.8,8.7,,0.4
2018-01-12,-10.2,-15.3,-5.4,0.0,1.7,3.6,35.4,8.8,,2.3
2018-01-13,-4.4,-6.6,-1.2,0.4,0.8,1.7,67.3,0.9,0.6,8.3
2018-01-14,0.6,-4.4,5.4,,1.2,2.8,64.1,5.6,,7.0
2018-01-15,4.7,1.8,7.7,0.2,1.4,3.3,63.9,6.5,,7.6
2018-01-16,3.5,0.1,6.8,0.0,0.7,2.2,59.1,0.5,,9.8
2018-01-17,4.5,2.4,8.7,,1.2,3.7,64.1,4.8,,7.4
2018-01-18,2.1,0.3,4.5,0.0,1.9,3.8,59.6,,,8.6
2018-01-19,1.0,-2.5,5.5,,1.6,3.7,43.0,8.7,,3.8
2018-01-20,2.2,-1.0,6.9,,1.6,3.6,57.6,5.3,,5.1
2018-01-21,0.4,-3.7,5.5,,1.0,3.2,36.6,8.2,,2.0
2018-01-22,0.2,-5.3,4.0,3.3,1.5,5.1,56.5,0.7,1.0,9.4
2018-01-23,-11.7,-14.6,-5.3,,3.7,5.4,42.0,9.1,1.0,0.3
2018-01-24,-14.2,-16.3,-10.7,,3.4,7.2,31.6,8.9,0.9,0.0
2018-01-25,-14.0,-16.4,-9.5,,2.8,4.8,32.6,8.3,0.7,3.6
2018-01-26,-14.8,-17.8,-10.7,,2.6,4.6,34.9,,0.5,0.0
2018-01-27,-9.9,-15.9,-3.5,,1.4,3.4,37.4,9.0,0.3,1.8
2018-01-28,-6.3,-9.3,-1.2,,2.6,5.6,36.0,7.6,,3.3
2018-01-29,-8.5,-11.6,-4.7,,2.7,6.2,35.0,8.9,,0.1
2018-01-30,-5.3,-11.4,-0.8,2.9,1.3,3.8,62.0,5.6,3.5,5.8
2018-01-31,-2.6,-5.2,0.0,0.0,1.6,3.4,54.5,1.8,3.5,7.4
2018-02-01,-4.0,-8.8,1.2,,1.6,3.9,44.1,9.1,1.6,0.0
2018-02-02,-2.4,-7.6,3.8,,1.6,3.6,51.1,8.8,,1.9
2018-02-03,-7.3,-10.4,-2.1,0.5,3.8,5.7,47.0,9.1,0.3,1.3
2018-02-04,-9.5,-12.8,-5.2,,3.1,5.6,40.9,9.1,,0.0
2018-02-05,-9.4,-11.8,-5.1,,3.0,5.6,37.8,9.3,,0.1
2018-02-06,-10.1,-12.8,-5.8,,3.1,4.9,36.5,9.0,,1.1
2018-02-07,-8.0,-13.4,-1.6,,1.5,3.3,39.8,9.2,,1.0
2018-02-08,-4.4,-9.7,2.0,,1.2,3.0,43.3,9.2,,0.3
2018-02-09,0.4,-5.3,6.1,,1.1,3.0,43.9,2.2,,9.1
2018-02-10,-0.5,-6.9,3.2,,3.0,6.3,47.4,5.3,,6.5
2018-02-11,-6.1,-9.5,-2.2,0.0,2.7,5.1,42.5,6.6,,3.5
2018-02-12,-5.8,-9.6,-1.8,0.0,2.7,5.2,40.8,8.7,,4.1
2018-02-13,-0.8,-7.4,4.3,,2.7,5.6,54.5,8.3,,3.1
2018-02-14,3.5,-0.7,8.7,,2.6,5.4,51.0,3.3,,7.4
2018-02-15,-0.7,-3.7,4.0,,2.5,4.4,28.0,,,3.8
2018-02-16,-1.1,-5.5,4.9,,2.1,5.5,40.1,9.7,,3.3
2018-02-17,-3.0,-7.1,1.4,,2.9,5.5,25.6,9.0,,1.9
2018-02-18,-0.4,-4.9,5.2,,1.3,3.5,26.9,7.2,,7.4
2018-02-19,1.8,-1.9,6.8,,1.5,3.0,48.6,4.8,,6.1
2018-02-20,0.9,-2.4,5.5,,2.5,5.8,41.0,8.3,,5.0
2018-02-21,-0.9,-4.5,4.4,,2.3,5.2,31.5,9.8,,1.6
2018-02-22,1.3,-3.9,5.4,0.4,2.2,5.2,59.0,6.4,0.4,5.8
2018-02-23,4.2,-0.3,8.6,3.7,1.9,5.0,81.1,4.8,4.1,7.0
2018-02-24,2.4,-1.1,7.2,,2.1,3.9,49.4,7.6,,6.1
2018-02-25,1.9,-1.6,7.9,,1.7,3.8,40.6,9.2,,2.4
2018-02-26,3.1,-3.2,10.4,,1.4,3.6,43.1,10.2,,1.3
2018-02-27,4.2,0.6,6.9,,0.9,1.8,48.8,0.0,,8.5
2018-02-28,4.6,1.8,7.8,25.0,2.0,3.7,73.3,0.0,,10.0
2018-03-01,-0.2,-4.3,3.0,0.5,3.8,6.9,61.9,8.7,,4.4
2018-03-02,-0.7,-6.7,5.4,,1.5,3.3,34.0,10.3,,2.4
2018-03-03,7.9,-0.1,16.2,0.0,1.5,3.9,38.1,10.1,,4.1
2018-03-04,9.8,7.6,11.9,11.5,1.2,3.5,89.1,0.0,,10.0
2018-03-05,5.5,1.3,11.4,3.5,2.0,3.5,67.5,7.0,,5.4
2018-03-06,4.5,-1.1,10.9,,1.6,3.7,46.8,10.6,,2.1
2018-03-07,6.4,2.2,10.7,0.5,1.8,3.2,54.0,3.0,,8.6
2018-03-08,4.6,2.7,9.7,4.0,1.9,4.5,76.0,5.1,,8.1
2018-03-09,4.5,1.4,9.6,,1.5,4.2,63.3,5.1,,5.9
2018-03-10,4.6,0.7,9.7,,2.0,5.9,65.8,7.9,,4.6
2018-03-11,6.4,2.7,12.2,,2.0,4.2,51.3,9.8,,2.8
2018-03-12,8.0,2.2,15.5,,1.4,4.2,45.8,7.5,,3.3
2018-03-13,12.4,5.2,18.8,,1.8,4.3,60.5,6.6,,5.9
2018-03-14,17.0,13.6,22.1,,2.3,5.0,58.8,7.9,,6.0
2018-03-15,12.4,8.4,16.6,27.0,2.1,4.8,92.1,0.0,,9.8
2018-03-16,7.1,3.6,12.2,,1.9,3.1,46.9,11.0,,1.4
2018-03-17,6.6,0.5,14.0,,1.5,3.8,48.0,9.1,,4.4
2018-03-18,8.2,5.4,12.5,0.5,1.2,2.9,55.9,0.0,,9.8
2018-03-19,8.0,6.2,10.4,1.0,2.5,4.2,64.5,0.0,,9.5
2018-03-20,4.7,1.6,9.1,,3.4,4.8,39.9,5.4,,6.9
2018-03-21,2.1,1.1,5.3,1.0,1.7,3.3,64.1,0.4,,9.9
2018-03-22,4.9,0.6,11.6,,2.2,5.0,61.5,10.7,,1.5
2018-03-23,6.1,1.8,12.5,,2.0,4.2,55.3,8.7,,4.6
2018-03-24,7.6,4.0,13.1,,2.1,4.4,61.9,7.2,,6.3
2018-03-25,9.6,4.6,16.9,,1.7,3.5,65.6,9.5,,3.4
2018-03-26,11.0,5.3,18.1,,1.9,4.4,64.5,9.1,,3.6
2018-03-27,13.3,7.7,20.0,,1.6,3.9,61.1,7.9,,2.6
2018-03-28,14.0,9.4,19.0,,2.2,4.8,66.4,5.2,,4.3
2018-03-29,15.4,11.8,21.1,,1.6,4.0,66.3,7.5,,4.9
2018-03-30,14.8,9.8,21.9,,1.7,3.8,55.6,9.9,,0.5
2018-03-31,14.0,9.3,20.1,,1.9,4.5,52.9,7.9,,4.4
2018-04-01,15.6,11.7,18.5,,1.5,3.5,68.8,1.3,,9.1
2018-04-02,18.4,14.9,23.7,,1.9,4.5,64.0,5.6,,6.1
2018-04-03,17.8,14.9,21.2,0.1,2.1,4.4,72.9,0.8,,9.1
2018-04-04,13.4,9.5,18.2,18.5,1.9,5.1,67.0,8.0,,6.1
2018-04-05,7.6,6.7,9.5,10.5,2.0,3.5,90.6,0.0,,9.9
2018-04-06,5.8,3.0,8.6,6.5,3.1,5.7,71.6,4.0,,8.9
2018-04-07,4.2,1.4,8.6,0.2,4.1,6.0,45.5,9.0,,5.1
2018-04-08,3.9,0.6,7.9,3.0,1.8,3.6,59.6,3.3,,6.1
2018-04-09,7.9,0.1,15.4,,1.1,2.9,57.9,9.5,,2.6
2018-04-10,15.1,6.9,21.9,5.0,3.5,8.8,51.0,6.3,,6.3
2018-04-11,12.6,8.7,17.3,,3.0,6.1,49.4,11.8,,2.6
2018-04-12,13.3,6.8,19.6,,2.6,6.2,30.5,12.0,,1.3
2018-04-13,14.6,8.3,19.3,,1.3,3.7,22.9,2.7,,8.9
2018-04-14,9.0,7.5,14.8,9.0,1.8,4.1,78.8,0.3,,8.9
2018-04-15,9.5,5.6,14.2,,2.4,4.9,65.5,8.6,,3.1
2018-04-16,11.6,4.9,18.8,,1.6,4.7,41.9,12.3,,1.0
2018-04-17,12.9,6.8,20.1,,1.9,5.5,37.9,12.2,,0.9
2018-04-18,12.4,6.2,19.3,,1.9,3.9,35.4,12.0,,0.4
2018-04-19,14.0,7.4,20.5,,1.9,5.1,38.8,11.4,,0.0
2018-04-20,18.4,11.0,26.3,,1.3,3.6,46.0,11.3,,0.5
2018-04-21,18.7,12.3,25.6,,1.9,4.6,32.0,12.4,,3.4
2018-04-22,15.5,10.7,21.0,15.5,1.1,2.9,57.4,0.0,,9.5
2018-04-23,9.3,8.4,10.7,59.0,2.2,3.0,93.9,0.0,,10.0
2018-04-24,12.1,8.9,16.1,3.0,1.4,2.8,63.3,0.0,,8.0
2018-04-25,14.6,5.7,23.3,,1.5,4.4,37.8,12.4,,0.8
2018-04-26,14.9,10.0,22.1,,2.1,5.1,51.9,11.7,,3.9
2018-04-27,15.7,9.7,23.3,,1.7,3.8,52.9,11.3,,0.1
2018-04-28,15.4,10.5,21.7,,2.0,4.8,49.0,12.4,,0.0
2018-04-29,16.2,9.4,22.9,,1.9,4.3,43.1,11.6,,2.4
2018-04-30,19.2,14.1,25.0,,1.6,3.6,61.6,9.2,,5.5
2018-05-01,20.4,17.8,23.3,0.0,1.5,4.0,72.8,3.2,,8.5
2018-05-02,15.1,8.7,19.7,12.0,1.9,5.2,90.4,0.0,,9.9
2018-05-03,11.2,6.9,14.7,1.0,2.7,5.3,62.4,8.2,,3.6
2018-05-04,14.1,8.8,20.0,,2.7,5.9,45.5,12.4,,1.4
2018-05-05,18.3,11.6,24.6,,2.6,4.8,46.8,11.0,,6.0
2018-05-06,16.6,15.0,20.7,22.0,1.1,3.9,86.4,3.2,,9.3
2018-05-07,19.2,14.0,25.5,,1.2,3.7,60.3,7.1,,6.0
2018-05-08,17.5,11.6,22.9,,1.7,2.7,50.9,11.3,,3.0
2018-05-09,15.7,9.2,21.8,,1.7,3.6,50.4,12.6,,0.1
2018-05-10,15.4,11.3,21.4,,2.3,5.4,67.4,12.3,,3.1
2018-05-11,16.1,11.9,21.3,,1.8,3.5,59.8,5.3,,9.5
2018-05-12,14.2,11.8,16.1,32.0,0.9,2.9,89.3,0.0,,10.0
2018-05-13,15.8,12.7,20.0,0.5,1.9,3.9,82.5,6.9,,5.3
2018-05-14,18.2,11.9,24.5,,1.4,3.4,71.4,7.2,,6.6
2018-05-15,23.2,15.4,29.3,0.0,1.1,3.4,56.4,8.9,,8.5
2018-05-16,22.3,21.8,24.4,45.0,1.9,6.1,93.8,0.0,,10.0
2018-05-17,20.9,18.8,23.5,83.0,1.4,8.0,97.0,0.0,,10.0
2018-05-18,16.3,12.2,19.3,6.5,1.3,2.7,86.8,0.4,,8.3
2018-05-19,17.6,10.3,24.7,,1.5,2.9,47.5,12.7,,0.0
2018-05-20,17.0,11.5,22.6,,1.4,2.8,32.1,4.2,,4.6
2018-05-21,17.8,11.3,23.7,,1.4,3.5,43.9,8.8,,3.9
2018-05-22,18.1,15.4,23.2,12.5,1.1,3.1,75.5,2.7,,9.0
2018-05-23,17.3,13.6,23.3,6.5,2.5,5.0,57.1,12.7,,1.4
2018-05-24,18.3,11.2,23.7,,2.2,5.4,47.4,12.5,,0.5
2018-05-25,19.7,13.8,26.2,,1.8,4.5,47.4,12.1,,3.4
2018-05-26,21.8,14.0,29.6,,1.4,4.0,50.1,12.6,,1.0
2018-05-27,20.3,17.3,24.7,,1.7,4.1,47.4,4.7,,7.3
2018-05-28,22.3,16.2,29.1,,1.6,4.3,49.8,12.5,,3.8
2018-05-29,21.4,19.1,25.9,1.0,1.8,4.4,69.3,3.4,,9.4
2018-05-30,20.2,15.8,24.7,0.0,1.9,4.4,69.8,9.8,,4.6
2018-05-31,20.9,14.2,27.6,,1.9,3.6,58.9,12.9,,0.9
2018-06-01,23.8,17.5,30.2,,1.9,4.3,50.4,12.9,,0.0
2018-06-02,23.4,17.6,30.1,,2.0,4.5,44.5,12.8,,1.4
2018-06-03,24.0,16.9,30.8,,1.6,4.2,39.4,12.9,,4.0
2018-06-04,22.6,18.9,27.5,,1.9,4.4,50.1,9.2,,7.9
2018-06-05,23.7,17.7,29.2,,1.7,4.0,52.5,11.4,,1.4
2018-06-06,23.0,18.4,27.9,,2.0,4.0,62.9,12.7,,1.0
2018-06-07,22.2,17.8,29.4,,2.0,4.1,69.3,9.4,,4.5
2018-06-08,21.9,18.5,27.0,,2.1,3.7,68.0,7.1,,5.5
2018-06-09,23.7,18.9,30.1,0.5,1.4,3.5,60.6,7.9,,6.6
2018-06-10,21.3,18.3,24.9,0.5,1.4,2.9,59.9,1.4,,9.5
2018-06-11,20.2,18.0,23.9,5.0,1.4,4.3,67.3,3.3,,8.5
2018-06-12,21.3,16.6,27.1,0.0,1.7,4.7,65.5,12.1,,4.5
2018-06-13,22.0,18.3,27.0,0.0,1.5,5.1,64.0,4.9,,7.4
2018-06-14,21.6,18.8,25.1,29.0,1.1,3.7,74.9,1.4,,9.5
2018-06-15,21.7,17.2,27.0,16.5,1.4,2.7,60.8,9.8,,6.1
2018-06-16,22.5,16.3,28.7,,1.4,2.8,56.4,13.0,,0.8
2018-06-17,22.8,18.9,27.5,,1.3,3.9,66.9,2.4,,7.8
2018-06-18,24.8,19.9,30.8,,1.5,4.0,54.9,12.6,,3.6
2018-06-19,22.4,19.1,27.2,,1.8,3.6,61.3,3.1,,8.1
2018-06-20,22.7,19.1,28.4,,2.3,4.2,68.1,10.2,,5.4
2018-06-21,23.7,19.4,28.7,,2.2,4.4,60.1,12.6,,3.0
2018-06-22,25.0,18.2,32.0,,1.8,4.3,45.1,12.4,,5.1
2018-06-23,24.5,20.9,28.9,,2.0,4.4,50.6,8.5,,8.0
2018-06-24,25.2,20.1,32.1,,1.9,3.7,62.8,11.1,,4.0
2018-06-25,27.1,21.3,32.9,,1.2,3.2,57.1,7.8,,7.9
2018-06-26,22.3,20.2,26.9,71.5,2.4,5.7,88.3,0.0,,10.0
2018-06-27,22.3,19.1,25.5,1.0,2.0,4.5,81.9,2.9,,8.8
2018-06-28,23.3,20.6,27.3,26.5,1.1,4.3,85.1,1.9,,9.5
2018-06-29,24.7,21.9,29.1,6.5,1.5,3.2,78.5,8.4,,7.3
2018-06-30,24.4,21.6,27.9,14.5,0.9,5.1,83.8,0.5,,9.1
2018-07-01,21.9,21.0,22.8,83.5,0.8,2.3,94.6,0.0,,9.9
2018-07-02,22.6,20.6,25.3,59.5,0.7,2.9,95.4,0.1,,9.6
2018-07-03,27.4,22.5,32.6,0.1,0.8,2.6,74.4,10.1,,6.0
2018-07-04,27.3,24.0,31.8,,1.7,3.9,69.6,8.4,,7.1
2018-07-05,25.3,23.4,29.0,0.5,1.2,3.0,72.8,1.7,,8.6
2018-07-06,23.9,21.5,27.1,,1.8,3.4,57.8,2.6,,8.5
2018-07-07,23.7,19.5,29.2,,1.6,2.3,51.4,,,3.6
2018-07-08,23.3,17.7,28.1,,1.5,2.8,51.5,9.5,,7.0
2018-07-09,20.8,20.1,24.2,14.0,1.1,1.8,82.3,0.0,,9.9
2018-07-10,23.7,20.4,26.5,16.5,0.7,1.6,87.8,0.0,,9.8
2018-07-11,26.8,24.4,29.5,3.0,1.3,3.9,82.9,0.1,,9.6
2018-07-12,26.6,25.1,28.2,1.0,1.5,3.6,82.4,1.1,,7.5
2018-07-13,27.3,24.7,30.9,,1.8,3.4,74.8,7.0,,6.4
2018-07-14,27.9,24.6,31.9,0.0,1.9,4.2,69.6,11.3,,5.0
2018-07-15,28.3,24.5,33.2,,1.6,3.7,69.6,11.0,,2.6
2018-07-16,28.7,24.0,34.0,,1.7,3.6,64.3,12.9,,0.4
2018-07-17,28.1,23.9,32.1,,1.7,4.1,66.5,13.0,,1.3
